Date,Close
16.12.2021,73.6243
15.12.2021,74.0398
14.12.2021,73.617
13.12.2021,73.6292
10.12.2021,73.472
09.12.2021,73.5831
08.12.2021,73.7115
07.12.2021,74.0764
06.12.2021,73.996
03.12.2021,73.8912
02.12.2021,73.578
01.12.2021,73.9284
30.11.2021,74.469
29.11.2021,74.5787
26.11.2021,75.5354
25.11.2021,74.6603
24.11.2021,74.944
23.11.2021,75.0484
22.11.2021,74.9345
19.11.2021,73.4031
18.11.2021,73.1944
17.11.2021,72.5115
16.11.2021,73.4281
15.11.2021,72.7158
12.11.2021,72.7696
11.11.2021,71.1649
10.11.2021,70.9103
09.11.2021,70.7593
08.11.2021,71.2342
05.11.2021,71.1619
03.11.2021,72.1717
02.11.2021,71.6147
01.11.2021,71.2304
29.10.2021,70.9036
28.10.2021,70.1899
27.10.2021,70.4495
26.10.2021,69.6341
25.10.2021,69.8285
22.10.2021,70.4015
21.10.2021,71.1375
20.10.2021,70.9093
19.10.2021,70.8993
18.10.2021,71.3175
15.10.2021,70.9768
14.10.2021,71.5213
13.10.2021,72.0673
12.10.2021,71.8306
11.10.2021,71.6229
08.10.2021,71.7405
07.10.2021,71.8408
06.10.2021,72.421
05.10.2021,72.311
04.10.2021,72.5518
01.10.2021,72.678
30.09.2021,72.7157
29.09.2021,72.7845
28.09.2021,72.9225
27.09.2021,72.4632
24.09.2021,72.7948
23.09.2021,72.8098
22.09.2021,72.6743
21.09.2021,73.1068
20.09.2021,73.5313
17.09.2021,72.8444
16.09.2021,72.5831
15.09.2021,72.4943
14.09.2021,72.8161
13.09.2021,72.7012
10.09.2021,73.0866
09.09.2021,72.873
08.09.2021,73.3009
07.09.2021,73.2805
06.09.2021,73.0557
03.09.2021,72.6936
02.09.2021,72.812
01.09.2021,72.9383
31.08.2021,73.3041
30.08.2021,73.459
27.08.2021,73.5835
26.08.2021,74.2194
25.08.2021,74.0448
24.08.2021,73.7598
23.08.2021,74.1383
20.08.2021,74.3694
19.08.2021,74.2275
18.08.2021,73.8124
17.08.2021,73.5093
16.08.2021,73.3
13.08.2021,73.2147
12.08.2021,73.5531
11.08.2021,73.7504
10.08.2021,73.8982
09.08.2021,73.6193
06.08.2021,73.4148
05.08.2021,73.0481
04.08.2021,73.1836
03.08.2021,72.9738
02.08.2021,72.9465
30.07.2021,73.0817
29.07.2021,73.1051
28.07.2021,73.7158
27.07.2021,73.7475
26.07.2021,73.7184
23.07.2021,73.7194
22.07.2021,73.9325
21.07.2021,73.9425
20.07.2021,74.4579
19.07.2021,74.6125
16.07.2021,74.0862
15.07.2021,74.2563
14.07.2021,74.268
13.07.2021,74.0733
12.07.2021,74.435
09.07.2021,74.28
08.07.2021,74.7292
07.07.2021,74.7546
06.07.2021,74.386
05.07.2021,73.4793
02.07.2021,73.3672
01.07.2021,73.3698
30.06.2021,73.1818
29.06.2021,72.8135
28.06.2021,72.1748
25.06.2021,72.1923
24.06.2021,72.343
23.06.2021,72.5469
22.06.2021,73.1599
21.06.2021,73.1445
18.06.2021,72.7512
17.06.2021,72.2845
16.06.2021,71.8531
15.06.2021,72.3072
14.06.2021,72.067
11.06.2021,72.0951
10.06.2021,71.8875
09.06.2021,72.2925
08.06.2021,72.4088
07.06.2021,72.8426
04.06.2021,72.8222
03.06.2021,73.2536
02.06.2021,73.1692
01.06.2021,73.4681
31.05.2021,73.3875
28.05.2021,73.2766
27.05.2021,73.4419
26.05.2021,73.4992
25.05.2021,73.475
24.05.2021,73.4466
21.05.2021,73.4691
20.05.2021,73.4877
19.05.2021,73.7345
18.05.2021,73.7963
17.05.2021,73.9066
14.05.2021,73.9815
13.05.2021,74.0725
12.05.2021,74.3618
11.05.2021,74.0984
10.05.2021,74.099
07.05.2021,73.5418
06.05.2021,74.32
05.05.2021,74.7425
04.05.2021,74.9977
30.04.2021,75.1797
29.04.2021,74.4651
28.04.2021,74.6946
27.04.2021,74.8192
26.04.2021,74.8709
23.04.2021,74.9536
22.04.2021,75.5235
21.04.2021,76.6318
20.04.2021,76.8905
19.04.2021,76.2513
16.04.2021,75.7216
15.04.2021,76.2221
14.04.2021,75.6243
13.04.2021,76.1642
12.04.2021,77.4678
09.04.2021,77.4577
08.04.2021,76.7159
07.04.2021,77.1373
06.04.2021,77.1378
05.04.2021,76.2069
02.04.2021,76.4241
01.04.2021,76.2508
31.03.2021,75.5338
30.03.2021,76.0466
29.03.2021,75.7298
26.03.2021,75.8265
25.03.2021,76.4526
24.03.2021,76.3964
23.03.2021,76.0791
22.03.2021,74.8923
19.03.2021,74.2706
18.03.2021,74.1646
17.03.2021,73.984
16.03.2021,72.8278
15.03.2021,73.1345
12.03.2021,73.3807
11.03.2021,73.4281
10.03.2021,73.7334
09.03.2021,73.9528
05.03.2021,74.304
04.03.2021,73.577
03.03.2021,74.0315
02.03.2021,73.9603
01.03.2021,73.9223
26.02.2021,74.6686
25.02.2021,74.0595
24.02.2021,73.7598
22.02.2021,74.3309
20.02.2021,74.0656
19.02.2021,73.981
18.02.2021,74.0395
17.02.2021,74.036
16.02.2021,73.6718
15.02.2021,73.3012
12.02.2021,73.845
11.02.2021,73.603
10.02.2021,73.9458
09.02.2021,74.0488
08.02.2021,74.2387
05.02.2021,74.6484
04.02.2021,75.7287
03.02.2021,75.9381
02.02.2021,75.6652
01.02.2021,76.0129
29.01.2021,75.484
28.01.2021,76.0347
27.01.2021,75.6135
26.01.2021,75.0668
25.01.2021,75.7978
22.01.2021,75.1395
21.01.2021,73.6567
20.01.2021,73.4492
19.01.2021,73.7571
18.01.2021,74.1581
15.01.2021,73.7393
14.01.2021,73.2849
13.01.2021,73.5289
12.01.2021,73.6482
11.01.2021,74.8048
08.01.2021,74.2138
06.01.2021,73.9155
05.01.2021,74.2024
04.01.2021,74.0773
30.12.2020,74.6769
29.12.2020,73.7651
28.12.2020,73.7895
25.12.2020,74.1945
24.12.2020,73.9798
23.12.2020,74.9568
22.12.2020,75.4428
21.12.2020,75.137
18.12.2020,73.5329
17.12.2020,72.865
16.12.2020,73.5765
15.12.2020,73.5893
14.12.2020,73.3374
11.12.2020,73.056
10.12.2020,73.073
09.12.2020,73.7169
08.12.2020,73.3988
07.12.2020,73.5295
04.12.2020,73.9106
03.12.2020,74.3841
02.12.2020,75.241
01.12.2020,75.6358
30.11.2020,76.3634
27.11.2020,76.0128
26.11.2020,75.6412
25.11.2020,75.8501
24.11.2020,75.7706
23.11.2020,76.3755
20.11.2020,76.1186
19.11.2020,76.2335
18.11.2020,76.0116
17.11.2020,76.4041
16.11.2020,76.4761
13.11.2020,77.6204
12.11.2020,76.9677
11.11.2020,76.9813
10.11.2020,76.6201
09.11.2020,76.1311
06.11.2020,77.4163
05.11.2020,76.9938
03.11.2020,79.2113
02.11.2020,80.6471
30.10.2020,79.4671
29.10.2020,79.0952
28.10.2020,78.6892
27.10.2020,76.935
26.10.2020,76.1519
23.10.2020,76.2267
22.10.2020,76.4392
21.10.2020,76.7631
20.10.2020,77.4114
19.10.2020,77.547
16.10.2020,77.8529
15.10.2020,78.382
14.10.2020,77.5428
13.10.2020,77.0918
12.10.2020,77.0997
09.10.2020,76.6786
08.10.2020,77.3784
07.10.2020,78.279
06.10.2020,77.9894
05.10.2020,78.411
02.10.2020,78.2685
01.10.2020,77.51
